Cuenta,Nombre,Cargo,Abono
100-001,Bancos,458300,0
105-001,Clientes,312000,0
115-001,IVA acreditable,49920,0
120-001,Inventarios,88000,0
150-001,Equipo de computo,210000,0
200-001,Proveedores,0,265400
215-001,IVA trasladado,0,62400
220-001,ISR por pagar,0,54000
220-002,Retenciones IVA por pagar,0,8200
300-001,Capital social,0,300000
310-001,Resultados acumulados,0,120000
400-001,Ingresos por servicios,0,780000
410-001,Ingresos por arrendamiento,0,96000
500-001,Costo de servicios,312000,0
600-001,Gastos de administracion,168000,0
610-001,Gastos de venta,64000,0
620-001,Gastos financieros,23780,0
999-001,Cuenta puente sin clasificar,15000,0
